fid,DamID,DamName,Lat,Lon,FlagType,InstllCap,MaxVol,MaxVolSrc,MinVol,MinVolSrc,MaxH,MinH,MaxHSrc,MinHSrc,NmEnrgy01a,NmEnrgy01b,NmEnrgy01c,NmEnrgy01d,DisDur01a,DisDur01b,DisDur01c,DisDur01d,HisMaxVol,HisMinVol,HisMeanVol,HisMedVol,HisVol_25,HisVol_75,HisMaxH,HisMinH,HisMeanH,HisMedH,HisH_25,HisH_75,HisSrc,HisPeriod,NmEnrgy02a,NmEnrgy02b,NmEnrgy02c,NmEnrgy02d,NmEnrgy02e,NmEnrgy02f,DisDur02a,DisDur02b,DisDur02c,DisDur02d,DisDur02e,DisDur02f
"21",AK00033,EKLUTNA DAM,61.40528,-149.1425,Conventional storage dam,44.4,777.21,HydroLAKES,215.859,NID2019,10.668,10.668,NID2019,NID2019,22593.727863,6275.0858877,11296.8639315,3137.54294385,508.867744662162,141.330763236487,254.433872331081,70.6653816182433,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"22",AK00037,FAWN LAKE DAM NORTH,55.3531,-131.6217,Conventional storage dam,-99999,0.0986784,NID2019,0.0986784,NID2019,2.1336,2.1336,NID2019,NID2019,0.573722138304,0.573722138304,0.286861069152,0.286861069152,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"23",AK00044,LONG LAKE DAM,58.16667,-133.7333,Conventional storage dam,78.2,181.32156,NID2019,181.3,GRanDv1.3,6.4008,6.3,NID2019,GRanDv1.3,3162.6432874008,3112.46775,1581.3216437004,1556.233875,40.4430087902916,39.8013778772378,20.2215043951458,19.9006889386189,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"24",AK00059,DEWEY FOREBAY,59.4511,-135.3081,Run-of-River,1,0.0431718,NID2019,0.0431718,NID2019,6.4008,6.4008,NID2019,NID2019,0.753010306524,0.753010306524,0.376505153262,0.376505153262,0.753010306524,0.753010306524,0.376505153262,0.376505153262,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"25",AK00082,ROYCROFT LAKE,60.45935,-149.36284,Conventional storage dam,-99999,155,HydroLAKES,0.004440528,NID2019,1.557528,1.557528,NID2019,NID2019,657.860889,0.0188467722432864,328.9304445,0.0094233861216432,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"26",AK00093,LOWER EKLUTNA,61.45,-149.325,Conventional storage dam,-99999,0.0185022,NID2019,0.0185022,NID2019,12.8016,12.8016,NID2019,NID2019,0.645437405592,0.645437405592,0.322718702796,0.322718702796,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"27",AK00103,CHIGNIK,56.2867,-158.4233,Run-of-River,0.06,0.08881056,NID2019,0.08881056,NID2019,3.52044,3.52044,NID2019,NID2019,0.85197737538144,0.85197737538144,0.42598868769072,0.42598868769072,14.199622923024,14.199622923024,7.099811461512,7.099811461512,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"28",AK00142,GRANITE DIVERSION,55.355,-131.6167,Conventional storage dam,-99999,0.56246688,NID2019,0.56246688,NID2019,2.98704,2.98704,NID2019,NID2019,4.57830266366592,4.57830266366592,2.28915133183296,2.28915133183296,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"29",AK00184,BLUFF LAKE DIVERSION,55.77806,-131.4505,Conventional storage dam,-99999,5.69,HydroLAKES,1.23348,NID2019,2.1336,2.1336,NID2019,NID2019,33.0820014,7.1715267288,16.5410007,3.5857633644,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"30",AK00207,MAHOONA DAM,57.9232,-152.4819,Conventional storage dam,0.135,0.3762114,NID2019,0.3762114,NID2019,2.77368,2.77368,NID2019,NID2019,2.8435103479692,2.8435103479692,1.4217551739846,1.4217551739846,21.0630396145867,21.0630396145867,10.5315198072933,10.5315198072933,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"31",AK00264,AKUTAN HYDRO DAM,54.14359,-165.772,Conventional storage dam,0.1,0.0246696,NID2019,0.0246696,NID2019,4.48056,4.48056,NID2019,NID2019,0.3012041226096,0.3012041226096,0.1506020613048,0.1506020613048,3.012041226096,3.012041226096,1.506020613048,1.506020613048,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"32",AK83009,SHOTGUN CREEK DIV,57.6167,-152.9167,Conventional storage dam,-99999,0.3515418,NID2019,0.3515418,NID2019,8.5344,8.5344,NID2019,NID2019,8.175540470832,8.175540470832,4.087770235416,4.087770235416,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"33",AK83013,SWAN LAKE,55.61471,-131.34461,Conventional storage dam,22.6,178.56226524,NID2019,153,GRanDv1.3,37.12464,37.1,NID2019,GRanDv1.3,18064.1879948382,15467.9175,9032.09399741909,7733.95875,799.300353753902,684.421128318584,399.650176876951,342.210564159292,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
