fid,DamID,DamName,Lat,Lon,FlagType,InstllCap,MaxVol,MaxVolSrc,MinVol,MinVolSrc,MaxH,MinH,MaxHSrc,MinHSrc,NmEnrgy01a,NmEnrgy01b,NmEnrgy01c,NmEnrgy01d,DisDur01a,DisDur01b,DisDur01c,DisDur01d,HisMaxVol,HisMinVol,HisMeanVol,HisMedVol,HisVol_25,HisVol_75,HisMaxH,HisMinH,HisMeanH,HisMedH,HisH_25,HisH_75,HisSrc,HisPeriod,NmEnrgy02a,NmEnrgy02b,NmEnrgy02c,NmEnrgy02d,NmEnrgy02e,NmEnrgy02f,DisDur02a,DisDur02b,DisDur02c,DisDur02d,DisDur02e,DisDur02f
"1306",NY00293,HAILSBORO MILL #3 DAM,44.31333,-75.44917,Conventional storage dam,1,0.02590308,NID2019,0.02590308,NID2019,3.41376,3.41376,NID2019,NID2019,0.24096329808768,0.24096329808768,0.12048164904384,0.12048164904384,0.24096329808768,0.24096329808768,0.12048164904384,0.12048164904384,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1307",NY00295,WEST END DAM,43.9817,-75.6204,Conventional storage dam,4.4,0.06537444,NID2019,0.06537444,NID2019,3.84048,3.84048,NID2019,NID2019,0.68416364992752,0.68416364992752,0.34208182496376,0.34208182496376,0.155491738619891,0.155491738619891,0.0777458693099455,0.0777458693099455,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1308",NY00296,HERRINGS,44.0209,-75.6512,Conventional storage dam,5.4,2.05,HydroLAKES,0.825691512,NID2019,5.334,5.334,NID2019,NID2019,29.7970575,12.0015499806468,14.89852875,6.0007749903234,5.51797361111111,2.22250925567533,2.75898680555555,1.11125462783767,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1309",NY00297,DEFERIET,44.0269,-75.6789,Conventional storage dam,12,0.61,HydroLAKES,0.4995594,NID2019,3.84048,3.84048,NID2019,NID2019,6.38383788,5.2280429852952,3.19191894,2.6140214926476,0.53198649,0.4356702487746,0.265993245,0.2178351243873,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1310",NY00298,"TANNERY - DAM ""A""",43.9817,-75.6158,Conventional storage dam,1.5,0.08387664,NID2019,0.08387664,NID2019,2.98704,2.98704,NID2019,NID2019,0.68272934458176,0.68272934458176,0.34136467229088,0.34136467229088,0.45515289638784,0.45515289638784,0.22757644819392,0.22757644819392,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1311",NY00300,UPPER BEAVER FALLS,43.8835,-75.4284,Run-of-River,1.5,0.986784,NID2019,0.986784,NID2019,5.76072,5.76072,NID2019,NID2019,15.490497734208,15.490497734208,7.745248867104,7.745248867104,10.326998489472,10.326998489472,5.163499244736,5.163499244736,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1312",NY00301,TAYLORVILLE - NORTH DAM,43.9278,-75.3117,Conventional storage dam,4,1.73,HydroLAKES,1.34572668,NID2019,5.077968,5.077968,NID2019,NID2019,23.938810644,18.6214428734675,11.969405322,9.31072143673375,5.984702661,4.65536071836688,2.9923513305,2.32768035918344,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1313",NY00302,EFFLEY,43.9238,-75.2778,Conventional storage dam,3,9.24,HydroLAKES,3.8731272,NID2019,6.4008,6.4008,NID2019,NID2019,161.1657432,67.555781785296,80.5828716,33.777890892648,53.7219144,22.518593928432,26.8609572,11.259296964216,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1314",NY00303,ELMER,43.9273,-75.2887,Conventional storage dam,2,0.4255506,NID2019,0.4255506,NID2019,4.90728,4.90728,NID2019,NID2019,5.6906064593028,5.6906064593028,2.8453032296514,2.8453032296514,2.8453032296514,2.8453032296514,1.4226516148257,1.4226516148257,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1315",NY00304,SOFT MAPLE TERMINAL,43.9185,-75.2378,Conventional storage dam,16,3.30325944,NID2019,1.69,HydroLAKES,21.336,21.336,NID2019,NID2019,192.053485797264,98.257614,96.026742898632,49.128807,12.003342862329,6.141100875,6.0016714311645,3.0705504375,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1316",NY00305,FORESTPORT,43.4403,-75.2062,Run-of-River,3.4,1.08,HydroLAKES,0.74995584,NID2019,5.76072,5.76072,NID2019,NID2019,16.95379896,11.7727782779981,8.47689948,5.88638913899904,4.98641145882353,3.46258184647002,2.49320572941176,1.73129092323501,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1317",NY00306,EAGLE,43.9018,-75.1948,Conventional storage dam,6,1.69,HydroLAKES,0.82396464,NID2019,4.69392,4.69392,NID2019,NID2019,21.61667508,10.5392756806445,10.80833754,5.26963784032224,3.60277918,1.75654594677408,1.80138959,0.87827297338704,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1318",NY00308,KAYUTA,43.4232,-75.2077,Run-of-River,0.4,11.63,HydroLAKES,6.03048372,NID2019,4.05384,4.05384,NID2019,NID2019,128.47328382,66.6170289364961,64.23664191,33.308514468248,321.18320955,166.54257234124,160.591604775,83.2712861706201,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1319",NY00310,DENLEY,43.5453,-75.3251,Conventional storage dam,5.7,0.431718,NID2019,0.431718,NID2019,6.18744,6.18744,NID2019,NID2019,7.279099629732,7.279099629732,3.639549814866,3.639549814866,1.27703502276,1.27703502276,0.63851751138,0.63851751138,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1320",NY00316,STILLWATER - NORTH DAM,43.8995,-75.0523,Conventional storage dam,1.8,222,GRanDv1.3,133.21584,NID2019,11.9,11.7348,GRanDv1.3,NID2019,7198.905,4259.8868769072,3599.4525,2129.9434384536,3999.39166666667,2366.603820504,1999.69583333333,1183.301910252,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1321",NY00321,MONGAUP,41.5371,-74.7718,Run-of-River,7.3,2.22,HydroLAKES,2.19436092,NID2019,9.6012,9.6012,NID2019,NID2019,58.0824594,57.4116572274084,29.0412297,28.7058286137042,7.95650128767123,7.86461057909704,3.97825064383562,3.93230528954852,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1322",NY00322,BEEBEE ISLAND DIVERSION DAM,43.97583,-75.90639,Conventional storage dam,-99999,0.07030836,NID2019,0.07030836,NID2019,4.69392,4.69392,NID2019,NID2019,0.89930945179152,0.89930945179152,0.44965472589576,0.44965472589576,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1323",NY00323,UPPER NORTH CHANNEL DAM,43.97889,-75.89389,Conventional storage dam,-99999,0.092511,NID2019,0.092511,NID2019,5.12064,5.12064,NID2019,NID2019,1.290874811184,1.290874811184,0.645437405592,0.645437405592,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1324",NY00329,MOSHIER,43.8877,-75.1098,Conventional storage dam,8,11.24,HydroLAKES,9.05250972,NID2019,19.84248,19.84248,NID2019,NID2019,607.75531992,489.476062362768,303.87765996,244.738031181384,75.96941499,61.184507795346,37.984707495,30.592253897673,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1325",NY00342,DOWNSVILLE DAM,42.07417,-74.96611,Conventional storage dam,18,752.1,GRanDv1.3,518.4069744,NID2019,43.52544,43.4,NID2019,GRanDv1.3,89204.1923304,61309.400827416,44602.0961652,30654.700413708,4955.7884628,3406.07782374533,2477.8942314,1703.03891187267,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1326",NY00348,NEVERSINK RESERVOIR DAM,41.82194,-74.64222,Conventional storage dam,25,175.2,GRanDv1.3,134.29143456,NID2019,40.6,40.5384,GRanDv1.3,NID2019,19383.252,14834.7907023404,9691.626,7417.39535117018,775.33008,593.391628093614,387.66504,296.695814046807,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1327",NY00367,LIGHTHOUSE HILL,43.5245,-75.9706,Conventional storage dam,8,3.947136,NID2019,2.49,HydroLAKES,10.02792,10.02792,NID2019,NID2019,107.859762001152,68.04194418,53.929881000576,34.02097209,13.482470250144,8.5052430225,6.741235125072,4.25262151125,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1328",NY00371,TALCVILLE,44.3084,-75.3086,Run-of-River,1.1,0.30837,NID2019,0.30837,NID2019,2.77368,2.77368,NID2019,NID2019,2.33074618686,2.33074618686,1.16537309343,1.16537309343,2.11886016987273,2.11886016987273,1.05943008493636,1.05943008493636,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1329",NY00374,BENNETTS BRIDGE,43.5445,-75.9195,Conventional storage dam,36,93,GRanDv1.3,82.02642,NID2019,10.5,7.4676,GRanDv1.3,NID2019,2660.9625,1669.1728461282,1330.48125,834.5864230641,73.915625,46.36591239245,36.9578125,23.182956196225,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1330",NY00394,BEEBE DAM,42.4518,-76.4799,Conventional storage dam,1.9,0.092511,NID2019,0.092511,NID2019,5.97408,5.97408,NID2019,NID2019,1.506020613048,1.506020613048,0.753010306524,0.753010306524,0.79264242792,0.79264242792,0.39632121396,0.39632121396,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1331",NY00397,CRANBERRY LAKE,44.2206,-74.8483,Run-of-River,0.595,74,GRanDv1.3,70.801752,NID2019,4.2,4.05384,GRanDv1.3,NID2019,846.93,782.126705042928,423.465,391.063352521464,1423.41176470588,1314.49866393769,711.705882352941,657.249331968847,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1332",NY00398,VARICK LOCK & DAM 7,43.4468,-76.5015,Lock & Dam,8,0.2590308,NID2019,0.2590308,NID2019,2.77368,2.77368,NID2019,NID2019,1.9578267969624,1.9578267969624,0.9789133984812,0.9789133984812,0.2447283496203,0.2447283496203,0.12236417481015,0.12236417481015,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1333",NY00400,OGDENSBURG,44.6922,-75.4934,Run-of-River,3.5,1.788546,NID2019,1.788546,NID2019,2.56032,2.56032,NID2019,NID2019,12.478456508112,12.478456508112,6.239228254056,6.239228254056,3.565273288032,3.565273288032,1.782636644016,1.782636644016,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1334",NY00401,HIGH DAM,43.4433,-76.4959,Lock & Dam,11.9,4.84387596,NID2019,4.84387596,NID2019,7.4676,7.4676,NID2019,NID2019,98.5690491239916,98.5690491239916,49.2845245619958,49.2845245619958,8.283113371764,8.283113371764,4.141556685882,4.141556685882,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1335",NY00402,MINETTO LOCK & DAM 5,43.3998,-76.4724,Lock & Dam,10,4.872246,NID2019,4.872246,NID2019,4.8006,4.8006,NID2019,NID2019,63.73694380221,63.73694380221,31.868471901105,31.868471901105,6.373694380221,6.373694380221,3.1868471901105,3.1868471901105,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1336",NY00404,EEL WEIR,44.6383,-75.4911,Run-of-River,2.5,0.16775328,NID2019,0.16775328,NID2019,4.90728,4.90728,NID2019,NID2019,2.24325356076864,2.24325356076864,1.12162678038432,1.12162678038432,0.897301424307456,0.897301424307456,0.448650712153728,0.448650712153728,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1337",NY00406,GRANBY,43.3234,-76.4202,Lock & Dam,11.3,0.30837,NID2019,0.30837,NID2019,3.2004,3.2004,NID2019,NID2019,2.6893225233,2.6893225233,1.34466126165,1.34466126165,0.237993143654867,0.237993143654867,0.118996571827434,0.118996571827434,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1338",NY00407,THERESA,44.2174,-75.7945,Conventional storage dam,1.3,0.59453736,NID2019,0.59453736,NID2019,8.5344,8.5344,NID2019,NID2019,13.8267035331264,13.8267035331264,6.9133517665632,6.9133517665632,10.6359257947126,10.6359257947126,5.31796289735631,5.31796289735631,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1339",NY00408,UPPER FULTON LOCK & DAM 2,43.3148,-76.4158,Lock & Dam,9,4.3665192,NID2019,4.3665192,NID2019,3.2004,3.2004,NID2019,NID2019,38.080806929928,38.080806929928,19.040403464964,19.040403464964,4.231200769992,4.231200769992,2.115600384996,2.115600384996,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1340",NY00411,HEUVELTON,44.6177,-75.4048,Run-of-River,1,1.74,HydroLAKES,0.4995594,NID2019,7.446264,7.446264,NID2019,NID2019,35.306460756,10.1365944548224,17.653230378,5.06829722741118,35.306460756,10.1365944548224,17.653230378,5.06829722741118,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1341",NY00413,FLAT ROCK,44.2215,-75.0738,Conventional storage dam,5,4.17162936,NID2019,2.28,HydroLAKES,15.36192,15.36192,NID2019,NID2019,174.629544456972,95.44360896,87.3147722284858,47.72180448,34.9259088913943,19.088721792,17.4629544456972,9.544360896,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1342",NY00415,SOUTH EDWARDS,44.2665,-75.1921,Conventional storage dam,4,1.04969148,NID2019,0.9,HydroLAKES,11.265408,11.265408,NID2019,NID2019,32.2236776199825,27.62841312,16.1118388099912,13.81420656,8.05591940499562,6.90710328,4.02795970249781,3.45355164,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1343",NY00419,NEWTON FALLS LOWER,44.2121,-74.9989,Conventional storage dam,0.68,0.1418502,NID2019,0.1418502,NID2019,5.334,5.334,NID2019,NID2019,2.06181393453,2.06181393453,1.030906967265,1.030906967265,3.03207931548529,3.03207931548529,1.51603965774265,1.51603965774265,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1344",NY00461,WISCOY DAM,42.505,-78.08861,Conventional storage dam,1,0.15048456,NID2019,0.15048456,NID2019,7.04088,7.04088,NID2019,NID2019,2.88725666101488,2.88725666101488,1.44362833050744,1.44362833050744,2.88725666101488,2.88725666101488,1.44362833050744,1.44362833050744,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1345",NY00462,MACOMB,44.8774,-74.3067,Run-of-River,1,0.277533,NID2019,0.277533,NID2019,6.82752,6.82752,NID2019,NID2019,5.163499244736,5.163499244736,2.581749622368,2.581749622368,5.163499244736,5.163499244736,2.581749622368,2.581749622368,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1346",NY00469,CHASM FALLS POWER DAM,44.74556,-74.22333,Conventional storage dam,3,0.39718056,NID2019,0.39718056,NID2019,5.334,5.334,NID2019,NID2019,5.773079016684,5.773079016684,2.886539508342,2.886539508342,1.924359672228,1.924359672228,0.962179836114,0.962179836114,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1347",NY00472,NEWTON FALLS UPPER,44.2147,-74.9869,Conventional storage dam,1.5,7.3145364,NID2019,4,HydroLAKES,10.668,10.668,NID2019,NID2019,212.63576750892,116.2812,106.31788375446,58.1406,141.75717833928,77.5208,70.87858916964,38.7604,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1348",NY00473,CHATEAUGAY CHASM,44.9318,-74.1125,Conventional storage dam,1.6,0.09004404,NID2019,0.09004404,NID2019,13.335,13.335,NID2019,NID2019,3.272009070015,3.272009070015,1.6360045350075,1.6360045350075,2.04500566875938,2.04500566875938,1.02250283437969,1.02250283437969,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1349",NY00484,STATION 5,43.1763,-77.6282,Run-of-River,43.6,0.51066072,NID2019,0.51066072,NID2019,4.58724,4.58724,NID2019,NID2019,6.38337594130488,6.38337594130488,3.19168797065244,3.19168797065244,0.1464077050758,0.1464077050758,0.0732038525379,0.0732038525379,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1350",NY00485,OAK ORCHARD CREEK DAM,43.32667,-78.24,Conventional storage dam,4,12.4,GRanDv1.3,10.95823632,NID2019,63,19.2024,GRanDv1.3,NID2019,2128.77,573.406591127933,1064.385,286.703295563966,532.1925,143.351647781983,266.09625,71.6758238909916,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1351",NY00497,RIO,41.4796,-74.7559,Run-of-River,10.8,24.1,GRanDv1.3,18.54783876,NID2019,21.7,21.54936,GRanDv1.3,NID2019,1425.09325,1089.16629895175,712.546625,544.583149475876,131.953078703704,100.848731384422,65.9765393518518,50.4243656922108,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1352",NY00506,TORONTO,41.6212,-74.8315,Conventional storage dam,-99999,31.09726428,NID2019,15.71,HydroLAKES,21.97608,21.97608,NID2019,NID2019,1862.2540117057,940.79049078,931.127005852851,470.39524539,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1353",NY00542,CANNONSVILLE,42.06411,-75.37434,Conventional storage dam,-99999,555.1,GRanDv1.3,370.044,NID2019,37.338,37.1,NID2019,GRanDv1.3,56479.232355,37410.52329,28239.6161775,18705.261645,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1354",NY00546,BEEBEE ISLAND,43.9767,-75.9069,Conventional storage dam,9,0.0740088,NID2019,0.0740088,NID2019,6.61416,6.61416,NID2019,NID2019,1.3339039715568,1.3339039715568,0.6669519857784,0.6669519857784,0.1482115523952,0.1482115523952,0.0741057761976,0.0741057761976,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1355",NY00574,HEWITTVILLE,44.704,-75.0078,Run-of-River,3,0.4440528,NID2019,0.4440528,NID2019,3.7338,3.7338,NID2019,NID2019,4.518061839144,4.518061839144,2.259030919572,2.259030919572,1.506020613048,1.506020613048,0.753010306524,0.753010306524,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1356",NY00582,NORFOLK DAM,44.80222,-74.99056,Conventional storage dam,5,0.0986784,NID2019,0.0986784,NID2019,6.18744,6.18744,NID2019,NID2019,1.6637942010816,1.6637942010816,0.8318971005408,0.8318971005408,0.33275884021632,0.33275884021632,0.16637942010816,0.16637942010816,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1357",NY00584,CLIFF LAKE,41.5836,-74.7943,Conventional storage dam,-99999,3.54378804,NID2019,2.72,HydroLAKES,7.68096,7.68096,NID2019,NID2019,74.1736666506326,56.93127552,37.0868333253163,28.46563776,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1358",NY00597,WALDEN,41.5593,-74.195,Run-of-River,2.4,0.3145374,NID2019,0.3145374,NID2019,6.82752,6.82752,NID2019,NID2019,5.8519658107008,5.8519658107008,2.9259829053504,2.9259829053504,2.438319087792,2.438319087792,1.219159543896,1.219159543896,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1359",NY00635,BLACK RIVER,44.0043,-75.80653,Conventional storage dam,6,0.15171804,NID2019,0.15171804,NID2019,5.334,5.334,NID2019,NID2019,2.205244469106,2.205244469106,1.102622234553,1.102622234553,0.367540744851,0.367540744851,0.1837703724255,0.1837703724255,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1360",NY00661,PROSPECT,43.3047,-75.1431,Conventional storage dam,19,4.00881,NID2019,3.66,HydroLAKES,11.09472,11.09472,NID2019,NID2019,121.19880171672,110.65318992,60.59940085836,55.32659496,6.37888430088,5.82385210105263,3.18944215044,2.91192605052632,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
"1361",NY00662,EMERYVILLE,44.2972,-75.3663,Run-of-River,3.4,0.37867836,NID2019,0.37867836,NID2019,4.69392,4.69392,NID2019,NID2019,4.84364915263152,4.84364915263152,2.42182457631576,2.42182457631576,1.42460269195045,1.42460269195045,0.712301345975224,0.712301345975224,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,NA,NA,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
