plant,NERC,EHA_ID,EIA_ID,NID_ID,lat,lon,state,county,HUC,bal_auth,mode,n_units,CH_MW,CH_MWh
Harris,SERC,hc1618_p01,6188,AL83001,33.2585,-85.613,AL,Randolph,31501090105,SOCO,Peaking,2,135,139963
Martin Dam,SERC,hc1037_p01,16,AL01425,32.68,-85.9117,AL,"Elmore, Tallapoosa",31501100406,SOCO,Peaking,4,210.6,312624.47
Yates Dam,SERC,hc1451_p01,21,AL01421,32.5744,-85.8893,AL,"Elmore, Tallapoosa",31501100406,SOCO,NA,2,50.5,122803.29
Thurlow Dam,SERC,hc1452_p01,19,AL01422,32.535,-85.8883,AL,"Elmore, Tallapoosa",31501100406,SOCO,NA,3,91,199877.29
Walter Bouldin Dam,SERC,hc1257_p01,4,AL01419,32.5838,-86.2833,AL,Elmore,31502010101,SOCO,Run-of-river,3,225,566718.82
Jones Bluff,SERC,hc0261_p01,6131,AL01434,32.32438322,-86.78387518,AL,Autauga,31502011202,SOCO,Peaking,4,82,275359.47
Millers Ferry,SERC,hc0253_p01,38,AL01435,32.10098862,-87.39958604,AL,Wilcox,31502030701,SOCO,Run-of-river,3,101.1,319331.59
Lewis Smith,SERC,hc1269_p01,18,AL01420,33.9417,-87.1083,AL,"Walker, Cullman",31601100507,SOCO,Peaking,2,181,256219.06
Bankhead,SERC,hc0311_p01,2,AL01427,33.4586,-87.356,AL,Tuscaloosa,31601120203,SOCO,Peaking,1,53.9,122330.59
Holt,SERC,hc0312_p01,12,AL01426,33.255,-87.45,AL,Tuscaloosa,31601120505,SOCO,Run-of-river,1,46.9,144691.71
Scanlon,MRO,hc1420_p01,1899,MN00605,46.71,-92.4217,MN,Carlton,40102011503,MISO,Run-of-river,4,1.6,7510.65
Knife Falls,MRO,hc1421_p01,1895,MN00606,46.7267,-92.4483,MN,Carlton,40102011503,MISO,Run-of-river,3,2.4,10256.24
Cloquet,MRO,hc1424_p01,50639,MN00598,46.7267,-92.4283,MN,Carlton,40102011503,MISO,Run-of-river,4,6.2,20469.99
Thomson,MRO,hc1419_p01,1901,MN00604,46.6661,-92.4066,MN,Carlton,40102011505,MISO,Peaking,6,72.6,244394.38
Fond Du Lac,MRO,hc1418_p01,1894,MN00603,46.665,-92.2933,MN,Carlton,40102011601,MISO,Run-of-river/Upstream Peaking,1,12,42969
Superior Falls,MRO,hc1597_p01,1757,MI00528,46.5651,-90.4178,MI,Gogebic,40103020109,MISO,Run-of-river,2,1.4,10692.88
Saxon Falls,MRO,hc1611_p01,1756,MI00196,46.5362,-90.379,MI,Gogebic,40103020109,MISO,Run-of-river,2,1.6,9658.88
White River,MRO,hc1479_p01,3989,WI00725,46.4977,-90.9089,WI,Ashland,40103020611,MISO,Run-of-river,2,1,3998.65
Victoria,MRO,hc1126_p01,1774,MI00203,46.6862,-89.2295,MI,Ontonagon,40201020408,MISO,Run-of-river/Peaking,2,12,50583.82
Prickett,MRO,hc1446_p01,1773,MI00193,46.7244,-88.6683,MI,Baraga,40201040108,MISO,Run-of-river,2,2.2,6695.12
McClure,MRO,hc2118_p01,7116,MI00183,46.6,-87.5167,MI,Marquette,40201050106,MISO,Peaking,2,8,35271.87
Marquette,RFC,hc1598_p01,1842,MI00181,46.5692,-87.4544,MI,Marquette,40201050205,MISO,Peaking,2,3.2,10465.06
Tourist Park,MRO,hc1599_p01,1839,MI00182,46.571751,-87.413289,MI,Marquette,40201050205,NA,Reregulating,1,0.7,4217
Hoist,MRO,hc2117_p01,7115,MI00175,46.56,-87.56,MI,Marquette,40201050205,MISO,Peaking,2,3.4,12624.65
Rock River Beach Dam,MRO,hc7558_p01,NA,"NA",46.464264,-86.916517,MI,Alger,40202010108,NA,Run-of-river,2,0.008,18
Autrain,MRO,hc2119_p01,7117,MI00152,46.3333,-86.85,MI,Alger,40202010112,NA,Run-of-river,2,0.9,NA
Stiles,MRO,hc1168_p01,4147,WI00762,44.8579,-88.0536,WI,Oconto,40301040505,MISO,Run-of-river,2,1,5081.17
Oconto Falls,MRO,hc1537_p01,4044,WI00763,44.8767,-88.1467,WI,Oconto,40301040505,MISO,Run-of-river,3,1.1,6707.56
Oconto Falls Lower,RFC,hc1654_p01,50439,WI00761,44.87,-88.1433,WI,Oconto,40301040505,MISO,Run-of-river,2,2,7896.76
Caldron Falls,MRO,hc1539_p01,4061,WI00759,45.3567,-88.23,WI,Marinette,40301050407,MISO,Run-of-river/Peaking,2,6.4,14353.06
High Falls,MRO,hc1603_p01,4065,WI00754,45.28,-88.2,WI,Marinette,40301050407,MISO,Run-of-river/Peaking,5,7,16179.47
Johnson Falls,MRO,hc1536_p01,4067,WI00758,45.2867,-88.16,WI,Marinette,40301050408,MISO,Run-of-river/Peaking,2,3.4,9973.88
Sandstone Rapids,MRO,hc1558_p01,4074,WI00760,45.2333,-88.0683,WI,Marinette,40301050408,MISO,Run-of-river/Peaking,2,3.8,11745.47
