EIA_ID,plant,state,bal_auth,original 10k bus,capacity,new bus
3917,Mayfield,WA,TPWR,10757,162,bus_10033
3918,Mossyrock,WA,TPWR,10864,300,bus_10093
3929,Packwood,WA,BPAT,10966,27.5,bus_10228
4176,Fremont Canyon,WY,WAUW,70111,66.8,bus_70063
4177,Glendo,WY,WAUW,70172,38,bus_60194
4178,Guernsey,WY,WAUW,70172,6.4,bus_60194
4180,Kortes,WY,WAUW,70182,36,bus_70063
4182,Seminoe,WY,WAUW,70182,51.6,bus_70063
4183,Shoshone_WY,WY,WAUW,77213,3,bus_77001
4185,Fontenelle,WY,WAUW,70188,10,bus_50316
4213,Portland No. 1,OR,PGE,13665,23.7,bus_10093
4214,Portland No. 2,OR,PGE,13665,11.8,bus_10093
4263,Echo Dam,UT,PACE,50412,4.4,bus_50316
6158,New Melones,CA,WALC,23453,300,bus_23060
6159,Crystal,CO,WACM,60765,28,bus_60003
6172,Libby,MT,BPAT,77187,525,bus_74235
6202,Ross,WA,SCL,10919,450,bus_10228
6395,Anderson Ranch,ID,BPAT,74298,40,bus_74001
6396,Black Canyon,ID,BPAT,74328,10.2,bus_13446
6397,Boise R Diversion,ID,IPCO,74220,3.3,bus_74001
6398,Minidoka,ID,BPAT,74248,27.7,bus_50196
6400,Canyon Ferry,MT,WAUW,77228,49.8,bus_77001
6402,Elephant Butte,NM,WACM,53300,27.9,bus_80007
6403,Green Springs,OR,BPAT,20415,17.2,bus_13366
6405,Flaming Gorge,UT,WAUW,50458,151.8,bus_50316
6406,Chandler,WA,BPAT,10811,12,bus_13504
6407,Roza,WA,BPAT,10746,12.9,bus_10570
6408,Heart Mountain,WY,WAUW,77213,5,bus_77001
6409,Alcova,WY,WAUW,70166,41.4,bus_70063
6421,Lemolo 2,OR,PACW,13659,38.5,bus_20007
6424,Chelan,WA,CHPD,10873,59.2,bus_10750
6430,Cedar Falls,WA,SCL,10867,30,bus_10228
6431,Gorge,WA,SCL,10771,207.3,bus_10228
6432,Diablo,WA,SCL,10806,182.4,bus_10228
6433,Boundary,WA,SCL,11041,1118.6,bus_11016
6484,Bend,OR,PACW,13528,1.1,bus_13504
6505,Oak Grove,OR,PGE,13577,51,bus_10093
6506,Moyie Springs,ID,BPAT,74266,3.9,bus_74053
6612,Union Valley,CA,BANC,20347,38.6,bus_20136
7072,Mojave Siphon,CA,CISO,28896,32.7,bus_28099
7079,Upper Salmon B,ID,IPCO,74332,16.5,bus_74104
7113,Potholes East Canal Headworks,WA,GCPD,10727,6.6,bus_10750
7127,Wynoochee,WA,TPWR,11009,12.8,bus_10228
7151,Stony Gorge,CA,CISO,20299,5,bus_20136
7179,Headgate Rock,AZ,WALC,28992,19.5,bus_40006
7189,Whiskeytown,CA,WALC,20483,3.5,bus_20026
7190,Milner Hydro,ID,IPCO,74324,59.5,bus_50196
