EIA_ID,lead,NSE,KGE,r2,RMSE,PBIAS,type
409,2,0.8893875789636616,0.9213279921263033,0.9495166397258208,9.98406263639471,1.1,Persistence
409,3,0.8256841537917798,0.9083495447675662,0.9166288652973164,12.80776964983718,1,Persistence
409,4,0.8170812681271469,0.9022900861587135,0.9133765654946162,13.028373487308523,1,Persistence
409,5,0.8519991038343072,0.8837503102736618,0.9368664832496951,11.15886060744316,1.5,Persistence
409,6,0.7940190817954007,0.8970185328623385,0.8970186990066022,14.432438106433413,-0,Persistence
410,0,0.9533627503656392,0.9384262653533149,0.9770034107924297,7.28196376154162,-0.6,Persistence
410,1,0.9134131469535962,0.9536696187732211,0.9561635536039145,9.500207809340314,-0.1,Persistence
410,2,0.8893875789636616,0.9213279921263033,0.9495166397258208,9.98406263639471,1.1,Persistence
410,3,0.8256841537917798,0.9083495447675662,0.9166288652973164,12.80776964983718,1,Persistence
410,4,0.8170812681271469,0.9022900861587135,0.9133765654946162,13.028373487308523,1,Persistence
410,5,0.8519991038343072,0.8837503102736618,0.9368664832496951,11.15886060744316,1.5,Persistence
410,6,0.7940190817954007,0.8970185328623385,0.8970186990066022,14.432438106433413,-0,Persistence
415,0,0.8519418802112432,0.9205815563285136,0.9285899849116476,3.828351047683725,2.1,Persistence
415,1,0.6096858207213822,0.8018623242836215,0.802975055713023,6.457760759647256,1.8,Persistence
415,2,0.46022964961102697,0.720288476325911,0.7221631421585806,7.7498366544667965,1.1,Persistence
415,3,0.4134921666852779,0.7067725096831246,0.7069901903166765,7.8272876614977545,1.1,Persistence
415,4,0.36266173654619194,0.6855882192621726,0.6859713965846823,8.048507964926028,0.6,Persistence
415,5,0.2568609998608009,0.6144360122748751,0.61601301814684,9.125510594775625,-0.8,Persistence
415,6,0.21749731917636306,0.6087368218038682,0.6087368399878541,9.046703662373298,0,Persistence
424,0,0.6941663313518114,0.8143864386345284,0.8731187258023857,5.4053564660339966,2.4,Persistence
424,1,0.2987872857730528,0.6669063529895966,0.674319003981132,8.677255889344973,1,Persistence
424,2,0.1843111670068469,0.6077178746441527,0.610500811664566,9.580040026054665,1.4,Persistence
424,3,0.06586140928469209,0.5736590978785706,0.6413967728780166,8.715632483906559,3.1,Persistence
424,4,-0.05468145412237835,0.5256616632839266,0.6195126769914123,8.883727143052024,3.8,Persistence
424,5,-0.0843693337404221,0.5036014859670015,0.5153534280442331,10.422413902556674,1.1,Persistence
424,6,-0.07273288511804954,0.46365620670930696,0.4636562540300826,11.473580330257212,-0,Persistence
425,0,0.5980648146895946,0.7845079768141933,0.8291680796246395,6.737926745591242,3.5,Persistence
425,1,0.2720758814964518,0.6427336474340886,0.644820919385502,9.985556585377724,3.1,Persistence
425,2,0.15507953677450992,0.591868004549116,0.5958644804372062,10.563604579845501,3.9,Persistence
425,3,-0.22338119593144246,0.45984946085296674,0.5934782131636321,9.819163572936533,6.9,Persistence
425,4,-0.44628589438600086,0.3883060847566946,0.5404262997054139,10.319031470784946,8.1,Persistence
425,5,-0.34833325108222435,0.42991715568923816,0.49936543198087185,10.928027617429631,1.4,Persistence
425,6,-0.15141904096771786,0.4242946532560996,0.4242946534964046,12.848845549421446,-0,Persistence
432,0,0.9465566729955416,0.966318663020102,0.9729672131844544,3.354187085857232,0.7,Persistence
432,1,0.8332747326270671,0.9055363372028498,0.9140701352799899,6.0478826162825055,-0.6,Persistence
432,2,0.7465823755402203,0.864904051707889,0.8693871223081767,7.422782355221284,0.2,Persistence
432,3,0.7328760509390446,0.8672155114583906,0.8676441553988499,7.294816189764209,0.6,Persistence
432,4,0.6997565310212486,0.8492998220605265,0.8585220448394159,7.418497705605818,0.6,Persistence
432,5,0.6150767682702318,0.8100432809990916,0.8108242935541071,8.688876091352546,-0.5,Persistence
432,6,0.6434816820284007,0.8217404651404151,0.821740465186238,8.500938189875846,0,Persistence
437,0,0.912952274299621,0.946199754090136,0.9555923118929894,43.05089379119393,0.3,Persistence
437,1,0.7141211886394838,0.8532612604937821,0.8671149763319591,71.28801692891919,1.1,Persistence
437,2,0.5623638346576895,0.7855742091140139,0.7889445507913367,90.55201955156289,1.7,Persistence
437,3,0.4053599318944294,0.7138281097772916,0.7262503282996032,101.5235802474284,3.7,Persistence
437,4,0.17270085873893637,0.6173795675006205,0.6584304798673072,110.14994461426198,3.7,Persistence
437,5,0.06948726709850339,0.5779789454161852,0.613084333278615,117.04210997588268,2.8,Persistence
437,6,0.12634292032893835,0.5631762527198618,0.563176257828364,132.26338041484414,-0,Persistence
439,0,0.7968665979728373,0.8613928890306417,0.8986038557693342,19.538079762514116,9,Persistence
439,1,0.47551470239693927,0.7209196855988262,0.7747228449129732,27.47126793938948,12.2,Persistence
439,2,0.1536039141833614,0.5901108575207851,0.6396544853472533,34.36024765602879,14.8,Persistence
439,3,0.09681344056883945,0.566845510264993,0.6128572855228002,35.61456051288085,15,Persistence
439,4,0.020776740529210302,0.5464541516607366,0.5967343330621036,35.83002440150121,12.8,Persistence
439,5,0.037748913070185575,0.5523263951468863,0.5608946979090975,38.01135493826225,0.5,Persistence
439,6,0.08411623175915106,0.5420491044873386,0.5420491063148521,40.312998730967124,0,Persistence
441,0,0.8930943865660956,0.9322314582162305,0.9453691862175302,46.858456854236636,2.1,Persistence
441,1,0.5863795087082906,0.7850748483668347,0.8189996197420456,80.37654097586122,4.3,Persistence
441,2,0.2760346278165311,0.6550417791873249,0.668050829078881,109.16041828412072,5.1,Persistence
441,3,0.04914310978531078,0.5669522922326495,0.6264339129838516,111.54347001630101,6.2,Persistence
441,4,-0.31172622499200764,0.43201945286560595,0.5682996405676121,116.37184854387844,7,Persistence
441,5,-0.40255197453121827,0.4103452570031648,0.5204383622786917,122.34521873900484,4.7,Persistence
441,6,-0.11672082307510157,0.44164500868175716,0.44164500950351754,146.27507246658567,-0,Persistence
445,0,0.86384630698018,0.9150689647830922,0.9298047049873421,55.20784570575925,-1.1,Persistence
445,1,0.6574748381037645,0.8293179940208685,0.82966574464931,83.07378054399148,-1,Persistence
445,2,0.44711566646015866,0.7343340123109228,0.7426172898447008,99.54624681994785,0.5,Persistence
445,3,0.2646908634658903,0.6542352117340248,0.6662538575755086,112.30667997034949,1.4,Persistence
445,4,0.1831823129087221,0.6149682897254298,0.6222541925738929,120.07660889683596,1.1,Persistence
445,5,0.1906753765316499,0.610626378767384,0.6130548178798697,123.01055306232739,0.2,Persistence
445,6,0.17154565620832563,0.5857619165656824,0.5857619232824653,129.85436239099178,0,Persistence
447,0,0.99280094324218,0.9912823180890932,0.9964752011289663,19.902025838621643,-0.2,Persistence
447,1,0.969796234225493,0.979553342315343,0.9852530889168027,40.522076800345424,-0.3,Persistence
447,2,0.9453230475103488,0.9712937858558843,0.9730319234665545,54.77593385998268,-0.4,Persistence
447,3,0.918413049717562,0.9590238671145829,0.9595270708461416,67.23687050052301,-0.5,Persistence
447,4,0.902962505977523,0.9514554580548888,0.9517357919001598,73.43854838570405,-0.4,Persistence
447,5,0.8889401455040752,0.9445317801060522,0.9446601346019584,78.5814217119146,-0.3,Persistence
447,6,0.8811733984315809,0.9405911553065089,0.9405915325510886,81.48096250902829,0,Persistence
451,0,0.7744385975772041,0.8752110386416605,0.8835289268447123,13.588235400939684,-2.2,Persistence
451,1,0.44703166303074326,0.7297371349264798,0.7318103643831695,19.865059757587996,-1.6,Persistence
451,2,0.17188625364794585,0.603396879733598,0.606443010806545,23.848257449988196,0.2,Persistence
451,3,0.059512954228472914,0.5248229530243558,0.525040057375079,26.932612081257165,1,Persistence
451,4,-2.357539203463599e-4,0.5112123988870845,0.5120714850082014,26.843538728791643,1.6,Persistence
451,5,0.007974588379427439,0.5141100154805873,0.5145886657457968,26.809006729270774,0.3,Persistence
451,6,0.014919589350732676,0.5074593636274364,0.5074593636425578,27.285811053541245,0,Persistence
454,0,0.6642332385320272,0.7228266588126293,0.8919029782569589,60.890107527901364,3,Persistence
454,1,0.35323229866131245,0.6729628299609212,0.7510820805985668,87.56489989597894,3.2,Persistence
454,2,0.1319837841413336,0.5907982199460383,0.6764885379996673,98.48704640975612,4.8,Persistence
454,3,-0.6550491683859363,0.3287144189128177,0.4826882408706284,119.02305247593888,6,Persistence
454,4,-1.7122761388063612,0.019803984779727224,0.4101499068573055,121.93566799587411,7.8,Persistence
454,5,-1.1065485491024174,0.2033718841722878,0.3415221498029802,132.10415912967522,3.4,Persistence
454,6,-0.4698072887203777,0.26509963335898845,0.26509963370300027,159.6801013059231,-0,Persistence
455,0,0.7598957540446836,0.7915212010463637,0.914028766521747,56.7857653121838,2.6,Persistence
455,1,0.4221030651872354,0.6979758047442279,0.776294584202528,87.19467162704451,3.1,Persistence
455,2,0.2244823783211205,0.6300329691834254,0.69780567770431,100.29618760424454,4.3,Persistence
455,3,-0.42505294986075914,0.3984515970512159,0.53631967050402,119.18739779047603,5.6,Persistence
455,4,-1.2449508580492123,0.140982144960763,0.459389974892705,123.99755623988678,7,Persistence
455,5,-0.926956975831166,0.2536687774399653,0.3853988531567249,134.4227085212877,3.5,Persistence
455,6,-0.39714321425042787,0.3014312289736839,0.30143122924341154,162.7594378609816,-0,Persistence
